"Rank","Player","Team","Bye","POS","AVG"
"387","Justin Shorter BUF","","","WR160","387.0"
"388","Sean Tucker TB","","","RB117","388.0"
"389","Elijah Higgins ARI","","","TE61","389.0"
"390","KJ Hamler BUF","","","WR161","390.0"
"391","Jared Wiley","","","TE62","391.0"
"392","Jason Brownlee NYJ","","","WR162","392.0"
"393","Erik Ezukanma MIA","","","WR163","393.0"
"394","Tip Reiman","","","TE63","394.0"
"395","John Bates WAS","","","TE64","395.0"
"396","Desmond Ridder ARI","","","QB52","397.0"
"397","Carson Steele","","","RB118","398.0"
"398","Jamal Agnew JAC","","","WR164","399.0"
"399","Brenton Strange JAC","","","TE65","400.0"
"400","KaVontae Turpin DAL","","","WR165","401.0"
"401","Trent Sherfield MIN","","","WR166","402.0"
"402","Jordan Whittington","","","WR167","403.0"
"403","Tyler Huntley CLE","","","QB53","404.0"
"404","Ameer Abdullah LV","","","RB119","405.0"
"405","Daijun Edwards","","","RB120","406.0"
"406","Harrison Bryant LV","","","TE66","407.0"
"407","Jalen Cropper DAL","","","WR168","408.0"
"408","Nikko Remigio","","","WR169","409.0"
"409","Durham Smythe MIA","","","TE67","410.0"
"410","Ty Johnson BUF","","","RB121","411.0"
"411","Kyle Philips TEN","","","WR170","412.0"
"412","Zach Wilson NYJ","","","QB54","413.0"
"413","Mitch Trubisky BUF","","","QB55","414.0"
"414","George Holani","","","RB122","415.0"
"415","Michael Pratt","","","QB56","416.0"
"416","Jameis Winston CLE","","","QB57","417.0"
"417","Johnny Mundt MIN","","","TE68","418.0"
""
""
