1,2,3,4,5,6,7,8,9,10
WR - LAR,WR -,WR - CIN,TE - BAL,WR - SEA,WR - PHI,WR - LAR,WR -,WR - IND,WR -
5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
A. Cooper,I. Pacheco,Z. Flowers,T. Higgins,L. Jackson,Z. Flowers,P. Mahomes,P. Mahomes,T. Higgins,A. Cooper
WR - CLE,RB - KC,WR - BAL,WR - CIN,QB - BAL,WR - BAL,QB - KC,QB - KC,WR - CIN,WR - CLE
6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
J. Conner,K. Walker,T. McBride,C. Ridley,D. Henry,J. Conner,D. Kincaid,K. Walker,J. Reed,J. Reed
RB - ARI,RB - SEA,TE - ARI,WR - TEN,RB - BAL,RB - ARI,TE - BUF,RB - SEA,WR - GB,WR - GB
7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
A. Richardson,C. Godwin,T. Spears,D. Henry,C. Kirk,A. Kamara,D. Henry,C. Kirk,D. Kincaid,D. Kincaid
QB - IND,WR - TB,RB - TEN,RB - BAL,WR - JAX,RB - NO,RB - BAL,WR - JAX,TE - BUF,TE - BUF
8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
D. Montgomery,G. Kittle,J. Burrow,D. Prescott,K. Pitts,D. Prescott,B. Robinson,T. Pollard,R. Stevenson,K. Murray
RB - DET,TE - SF,QB - CIN,QB - DAL,TE - ATL,QB - DAL,RB - WAS,RB - TEN,RB - NE,QB - ARI
9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
M. Brown,R. Doubs,A. Ekeler,J. Williams,B. Robinson,A. Ekeler,R. Doubs,N. Harris,J. Love,J. Warren
WR - KC,WR - GB,RB - WAS,WR - DET,RB - WAS,RB - WAS,WR - GB,RB - PIT,QB - GB,RB - PIT
10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
J. Ferguson,C. Sutton,J. Downs,J. Downs,C. Sutton,C. Brown,K. Shakir,D. Njoku,K. Shakir,C. Brown
TE - DAL,WR - DEN,WR - IND,WR - IND,WR - DEN,RB - CIN,WR - BUF,TE - CLE,WR - BUF,RB - CIN
11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
D. Goedert,J. Fields,K. Shakir,T. Hockenson,B. Purdy,D. Goedert,B. Purdy,J. Herbert,B. Purdy,J. Fields
TE - PHI,QB - PIT,WR - BUF,TE - MIN,QB - SF,TE - PHI,QB - SF,QB - LAC,QB - SF,QB - PIT
12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8
J. Goff,Z. Charbonnet,Z. Charbonnet,C. Hubbard,J. Ford,J. Jeudy,C. Kmet,C. Hubbard,K. Herbert,Z. White
